"","player_name","pitch_type","game_year","velo","pfx_x","pfx_z","release_pos_x","release_pos_z","handedness","spin_rate","extension","len","swstr","pct","fb_diff","fb_pfxx","fb_pfxz","fb_swstr"
"1808","James Shields","EP",2017,69.1032258064516,0.927650537634409,-0.894158064516129,-2.35485053763441,6.00987741935484,"R",2463.98924731183,6.39390322580645,93,0.139784946236559,0.0461309523809524,90.0460659898477,-0.817838197969543,1.12995723350254,0.0418994413407821
"1809","James Shields","EP",2018,68.5035398230089,1.19606637168142,-1.1004,-2.41678672566372,6.00922389380531,"R",2477.02654867257,6.37934513274336,113,0.230088495575221,0.0348013550970126,89.3521518987342,-0.816399831223629,0.874762194092827,0.0437116564417178
"1810","James Shields","KC",2015,78.7164536741214,0.623885396698616,-0.571829392971246,-2.24121185897436,6.04529326923077,"R",2445.35284280936,6.29230342577488,626,0.194888178913738,0.187537447573397,91.5741491672701,-0.859291781317886,1.40171766835626,0.062962962962963
"1811","James Shields","KC",2016,77.560546875,0.566803694661458,-0.523771744791667,-1.95868649706458,5.93842563600783,"R",2530.79574468085,6.45045401174168,512,0.1796875,0.163369495851946,91.0123236822569,-0.860474158624103,1.40685272704776,0.0425709515859766
"1812","James Shields","KC",2017,78.1233830845771,0.414904228855721,-0.382817661691542,-2.63586094527363,5.66430099502488,"R",2507.33924050633,6.50368855721393,402,0.208955223880597,0.199404761904762,90.0460659898477,-0.817838197969543,1.12995723350254,0.0418994413407821
"1813","James Shields","KC",2018,78.1911290322581,0.515446365105008,-0.406361066235864,-2.74045751211632,5.78697140549273,"R",2469.04248366013,6.39090451612903,620,0.179032258064516,0.190945488142901,89.3521518987342,-0.816399831223629,0.874762194092827,0.0437116564417178
"1814","Jameson Taillon","CH",2016,87.3940119760479,-0.491525,1.01094137724551,-2.12095222929936,6.02602420382166,"R",1672.35483870968,6.39177070063694,167,0.0778443113772455,0.107464607464607,94.9197745901639,-0.829427996926229,1.15227083333333,0.124567474048443
"1815","Jameson Taillon","CH",2017,88.096943231441,-0.844866812227074,0.918082532751092,-2.03402358078603,6.02470567685589,"R",1646.64473684211,6.18592052401747,229,0.0873362445414847,0.0986218776916451,95.1359784801614,-0.872336381977135,1.06966967047747,0.127557160048135
"1816","Jameson Taillon","CH",2018,87.8379562043796,-0.7677,0.7672,-2.22249416058394,6.09111167883212,"R",1713.89781021898,6.16405328467153,137,0.072992700729927,0.0462837837837838,95.1761989342806,-0.631017821195974,1.13353676731794,0.122047244094488
"1817","Jameson Taillon","CU",2016,80.6492610837438,0.625904659277504,-1.03385640394089,-1.84988865435356,6.2057,"R",2584.14705882353,5.96294459102902,406,0.105911330049261,0.261261261261261,94.9197745901639,-0.829427996926229,1.15227083333333,0.124567474048443
"1818","Jameson Taillon","CU",2017,81.3878737541528,0.80843438538206,-0.988126411960133,-1.80111179401993,6.18945265780731,"R",2649.13289036545,5.68621096345515,602,0.114617940199336,0.259259259259259,95.1359784801614,-0.872336381977135,1.06966967047747,0.127557160048135
"1819","Jameson Taillon","CU",2018,82.2278350515464,0.888552233676976,-1.10235515463918,-1.970264604811,6.22437852233677,"R",2649.50171821306,5.69822079037801,583,0.137221269296741,0.196959459459459,95.1761989342806,-0.631017821195974,1.13353676731794,0.122047244094488
